"project","organism","file_source","project_home","project_type","n_samples"
"SRP103069","mouse","sra","data_sources/sra","data_sources",9
"SRP066969","mouse","sra","data_sources/sra","data_sources",27
"SRP133469","mouse","sra","data_sources/sra","data_sources",9
"SRP032669","mouse","sra","data_sources/sra","data_sources",8
"ERP106769","mouse","sra","data_sources/sra","data_sources",39
"ERP117469","mouse","sra","data_sources/sra","data_sources",16
"SRP124469","mouse","sra","data_sources/sra","data_sources",12
"SRP093269","mouse","sra","data_sources/sra","data_sources",14
"SRP174369","mouse","sra","data_sources/sra","data_sources",13
"SRP106369","mouse","sra","data_sources/sra","data_sources",8
"SRP023469","mouse","sra","data_sources/sra","data_sources",8
"ERP003669","mouse","sra","data_sources/sra","data_sources",12
"SRP163269","mouse","sra","data_sources/sra","data_sources",1920
"SRP066869","mouse","sra","data_sources/sra","data_sources",3
"SRP186069","mouse","sra","data_sources/sra","data_sources",12
"SRP198469","mouse","sra","data_sources/sra","data_sources",6
"SRP191069","mouse","sra","data_sources/sra","data_sources",10
"SRP119769","mouse","sra","data_sources/sra","data_sources",5
"SRP092769","mouse","sra","data_sources/sra","data_sources",8
"SRP065769","mouse","sra","data_sources/sra","data_sources",28
"SRP201969","mouse","sra","data_sources/sra","data_sources",17
"SRP229069","mouse","sra","data_sources/sra","data_sources",28
"SRP103569","mouse","sra","data_sources/sra","data_sources",2
"SRP033369","mouse","sra","data_sources/sra","data_sources",16
"DRP004969","mouse","sra","data_sources/sra","data_sources",2
"SRP094469","mouse","sra","data_sources/sra","data_sources",25
"SRP133169","mouse","sra","data_sources/sra","data_sources",34
"SRP169969","mouse","sra","data_sources/sra","data_sources",40
"SRP100469","mouse","sra","data_sources/sra","data_sources",4
"SRP104669","mouse","sra","data_sources/sra","data_sources",8
"SRP058569","mouse","sra","data_sources/sra","data_sources",20
"SRP183669","mouse","sra","data_sources/sra","data_sources",9
"SRP064669","mouse","sra","data_sources/sra","data_sources",4
"SRP109169","mouse","sra","data_sources/sra","data_sources",27
"SRP036069","mouse","sra","data_sources/sra","data_sources",12
"SRP134969","mouse","sra","data_sources/sra","data_sources",14
"SRP073669","mouse","sra","data_sources/sra","data_sources",2
"ERP113269","mouse","sra","data_sources/sra","data_sources",2
"SRP215969","mouse","sra","data_sources/sra","data_sources",8
"SRP150269","mouse","sra","data_sources/sra","data_sources",78
"SRP094569","mouse","sra","data_sources/sra","data_sources",6
"SRP072669","mouse","sra","data_sources/sra","data_sources",12
"SRP110669","mouse","sra","data_sources/sra","data_sources",721
"SRP101569","mouse","sra","data_sources/sra","data_sources",10
"SRP063569","mouse","sra","data_sources/sra","data_sources",10
"SRP033269","mouse","sra","data_sources/sra","data_sources",10
"SRP173469","mouse","sra","data_sources/sra","data_sources",48
"SRP043269","mouse","sra","data_sources/sra","data_sources",8
"SRP070769","mouse","sra","data_sources/sra","data_sources",95
"SRP118869","mouse","sra","data_sources/sra","data_sources",6
"SRP024269","mouse","sra","data_sources/sra","data_sources",20
"SRP059669","mouse","sra","data_sources/sra","data_sources",11
"SRP146069","mouse","sra","data_sources/sra","data_sources",54
"SRP125269","mouse","sra","data_sources/sra","data_sources",8
"SRP045369","mouse","sra","data_sources/sra","data_sources",16
"SRP213269","mouse","sra","data_sources/sra","data_sources",8
"SRP157969","mouse","sra","data_sources/sra","data_sources",12
"SRP060669","mouse","sra","data_sources/sra","data_sources",8
"DRP004069","mouse","sra","data_sources/sra","data_sources",63
"SRP077669","mouse","sra","data_sources/sra","data_sources",30
"ERP011969","mouse","sra","data_sources/sra","data_sources",6
"SRP130969","mouse","sra","data_sources/sra","data_sources",12
"SRP064469","mouse","sra","data_sources/sra","data_sources",6
"SRP075769","mouse","sra","data_sources/sra","data_sources",12
"SRP064569","mouse","sra","data_sources/sra","data_sources",6
"ERP014069","mouse","sra","data_sources/sra","data_sources",20
"SRP018969","mouse","sra","data_sources/sra","data_sources",5
"SRP161569","mouse","sra","data_sources/sra","data_sources",97
"SRP023269","mouse","sra","data_sources/sra","data_sources",2
"SRP132369","mouse","sra","data_sources/sra","data_sources",2
"SRP162469","mouse","sra","data_sources/sra","data_sources",24
"DRP003269","mouse","sra","data_sources/sra","data_sources",36
"SRP121169","mouse","sra","data_sources/sra","data_sources",1
"SRP109869","mouse","sra","data_sources/sra","data_sources",46
